,Unnamed: 0,DATE,PERIOD,Label,A1,A2,A3,A4,A5,A6
90,90,2018-12-01T15:10:00,P1,AVG,228.27559683,229.58361187,231.06022346,230.39315007,230.37274122,228.64015458
91,91,2018-12-01T15:20:00,P1,AVG,228.31366363,229.69619549,231.01130731,230.34100285,230.28484733,228.54913862
92,92,2018-12-01T15:30:00,P1,AVG,228.31266102,229.78500183,230.9588813,230.26738795,230.24313285,228.48929934
93,93,2018-12-01T15:40:00,P1,AVG,228.39190729,229.86930041,230.96939888,230.32149796,230.16976404,228.33232613
94,94,2018-12-01T15:50:00,P1,AVG,228.61398305,229.85370061,231.06427474,230.34956567,230.1880892,228.3997967
95,95,2018-12-01T16:00:00,P1,AVG,228.48749393,229.79549251,230.95660809,230.25697908,230.05264667,228.1152482
96,96,2018-12-01T16:10:00,P1,AVG,228.51742949,229.87768971,230.95396619,230.25154573,230.03616721,228.06211312
97,97,2018-12-01T16:20:00,P1,AVG,228.55479237,229.97926711,230.95724976,230.22892754,229.91106099,228.0392923
98,98,2018-12-01T16:30:00,P1,AVG,228.64640985,229.99791373,230.91299193,230.26645361,229.83280268,228.03345115
99,99,2018-12-01T16:40:00,P1,AVG,228.83865852,230.04953898,231.03220645,230.33029215,229.84047179,227.96495732
100,100,2018-12-01T16:50:00,P1,AVG,228.75539453,230.00977006,230.9622702,230.2777706,229.82110256,227.95116448
101,101,2018-12-01T17:00:00,P1,AVG,228.99881518,230.06467604,230.99173902,230.31435602,229.78996394,227.96613577
102,102,2018-12-01T17:10:00,P1,AVG,229.07445424,230.09837307,231.01376013,230.32529411,229.78805352,227.92448724
103,103,2018-12-01T17:20:00,P1,AVG,229.03504941,230.15016238,230.97833318,230.28919331,229.75329998,227.89906889
104,104,2018-12-01T17:30:00,P1,AVG,229.07725471,230.20692311,230.98038185,230.30196355,229.74077105,227.86767184
105,105,2018-12-01T17:40:00,P1,AVG,229.06451498,230.19901871,230.9396068,230.20830168,229.72460441,227.88818483
106,106,2018-12-01T17:50:00,P1,AVG,229.15118279,230.19904019,230.96343667,230.22824662,229.6561987,227.82855846
107,107,2018-12-01T18:00:00,P1,AVG,229.11273843,230.25523357,230.95332496,230.19804716,229.65454861,227.78486029
108,108,2018-12-01T18:10:00,P1,AVG,229.11579655,230.19945897,230.97101971,230.16721824,229.71224635,227.8518757
109,109,2018-12-01T18:20:00,P1,AVG,229.08639838,230.19568035,230.97292947,230.15575753,229.68135832,227.84512576
110,110,2018-12-01T18:30:00,P1,AVG,228.98315279,230.15504111,230.94407985,230.13695391,229.63941829,227.52973361
111,111,2018-12-01T18:40:00,P1,AVG,229.14322129,230.27290273,230.96282182,230.20486753,229.65770299,227.6218061
112,112,2018-12-01T18:50:00,P1,AVG,229.19204104,230.26448512,231.00020156,230.23956045,229.66131768,227.7074554
113,113,2018-12-01T19:00:00,P1,AVG,229.15099185,230.2276296,230.96822643,230.18668212,229.65319555,227.57110526
114,114,2018-12-01T19:10:00,P1,AVG,229.13569047,230.22345679,230.99631795,230.13906109,229.5430832,227.56670161
115,115,2018-12-01T19:20:00,P1,AVG,229.13794375,230.29128505,231.0298289,230.0996669,229.5401245,227.54550580000003
116,116,2018-12-01T19:30:00,P1,AVG,229.20942762,230.3451791,230.99398833,230.11552028,229.52681443,227.56587808
117,117,2018-12-01T19:40:00,P1,AVG,229.19192902,230.28985743,230.99368234,230.14803511,229.48626177,227.54379097
118,118,2018-12-01T19:50:00,P1,AVG,229.21987518,230.27555714,231.00637548,230.16609622,229.52816159,227.57715472
119,119,2018-12-01T20:00:00,P1,AVG,229.31764263,230.28713862,230.95527078,230.18438094,229.52382971,227.55882167
120,120,2018-12-01T20:10:00,P1,AVG,229.19479008,230.27170587,231.01837452,230.08139665,229.57609952,227.6341285
121,121,2018-12-01T20:20:00,P1,AVG,229.23391024,230.24130488,230.99643715,230.13341284,229.60006779,227.67375628
122,122,2018-12-01T20:30:00,P1,AVG,229.18071861,230.24946208,231.03178317,230.07717397,229.57944280000004,227.58443142
123,123,2018-12-01T20:40:00,P1,AVG,229.17133791,230.23978354,231.00249248,230.11195467,229.5278207,227.59098456
124,124,2018-12-01T20:50:00,P1,AVG,229.0458978,230.25094665,231.04911644,230.03247131,229.49125428,227.55892243
125,125,2018-12-01T21:00:00,P1,AVG,229.1477381,230.21194257,231.01351897,230.06632909,229.44836168,227.52725888
126,126,2018-12-01T21:10:00,P1,AVG,229.07778715,230.16208871,231.00576336,230.06853793,229.46076245,227.52740213
127,127,2018-12-01T21:20:00,P1,AVG,229.18385958,230.2034124,230.98734296,230.12008502,229.48786493,227.52551816
128,128,2018-12-01T21:30:00,P1,AVG,229.19264063,230.19221731,230.99745563,230.12435191,229.48509706,227.45766888
129,129,2018-12-01T21:40:00,P1,AVG,229.2607213,230.23030162,230.96020640000003,230.13057056,229.48460266,227.48550125
130,130,2018-12-01T21:50:00,P1,AVG,228.89383568,229.97022795,230.66417319,229.88184375,229.28725469,227.31231873
131,131,2018-12-01T22:00:00,P1,AVG,228.06770721,229.12429279,230.0179177,229.17732527,228.7640592,226.76010383
132,132,2018-12-01T22:10:00,P1,AVG,227.88923142,229.2643122,230.03092649,229.04909699,228.69557347,226.67837754
133,133,2018-12-01T22:20:00,P1,AVG,227.88376602,229.2038954,230.02201606,229.01626363,228.61752814,226.69476222
134,134,2018-12-01T22:30:00,P1,AVG,228.20346712,229.08212446,229.93203732,229.23799651,228.52093233,226.63382919
135,135,2018-12-01T22:40:00,P1,AVG,228.1028762,229.18603402,230.02353205,229.14322086,228.60623247,226.62639428
136,136,2018-12-01T22:50:00,P1,AVG,228.20044598,229.1769951,229.99464334,229.17679274,228.57852122,226.62074825
137,137,2018-12-01T23:00:00,P1,AVG,228.13818417,229.16887403,229.9726149,229.14721419,228.53323893,226.59694992
138,138,2018-12-01T23:10:00,P1,AVG,228.1561112,229.14835716,229.96483517,229.10681039,228.49695362,226.56899434
139,139,2018-12-01T23:20:00,P1,AVG,228.21885466,229.24644478,229.93879321,229.16069479,228.47997228,226.581924
140,140,2018-12-01T23:30:00,P1,AVG,228.25769517,229.25555559,229.9711134,229.15293621,228.50055998,226.57490754
141,141,2018-12-01T23:40:00,P1,AVG,228.25299243,229.24293022,229.97866975,229.17050637,228.47131044,226.58725649
142,142,2018-12-01T23:50:00,P1,AVG,228.19626445,229.20211228,229.9904644,229.08476886,228.4416797,226.54458701
143,143,2018-12-02T00:00:00,P1,AVG,228.21253752,229.34413571,230.09609212,229.09560844,228.50294693,226.48900207
144,144,2018-12-02T00:10:00,P1,AVG,228.26367528,229.17171782,229.94816474,229.07925778,228.38300853,226.51203689
145,145,2018-12-02T00:20:00,P1,AVG,228.28107497,229.2364603,230.00346423,229.04199579,228.42809308,226.48395633
146,146,2018-12-02T00:30:00,P1,AVG,228.31679024,229.21071842,229.98341135,229.07861477,228.39547645,226.46414575
147,147,2018-12-02T00:40:00,P1,AVG,228.29371539,229.22398173,229.97271817,229.09599022,228.4059568,226.43573246
148,148,2018-12-02T00:50:00,P1,AVG,228.31873538,229.22912828,230.00412831,229.06899559,228.40273744,226.43888647
149,149,2018-12-02T01:00:00,P1,AVG,228.29799683,229.232546,230.01279666,229.06422525,228.41008456,226.45680423
150,150,2018-12-02T01:10:00,P1,AVG,228.31262851,229.23923444,230.00998896,229.05972721,228.42814188,226.48673688
151,151,2018-12-02T01:20:00,P1,AVG,228.2764182,229.23199549,229.98899203,229.0602363,228.41457042,226.51850106
152,152,2018-12-02T01:30:00,P1,AVG,228.30462438,229.24599054,230.00731179,229.05914589,228.4324764,226.50297884
153,153,2018-12-02T01:40:00,P1,AVG,228.29516896,229.22451623,229.9879486,229.09706212,228.43941881,226.48756207
154,154,2018-12-02T01:50:00,P1,AVG,228.28120801,229.24952818,230.02230593,229.05334484,228.42558594,226.39893146
155,155,2018-12-02T02:00:00,P1,AVG,228.21686822,229.18985055,229.98551421,229.06895803,228.3760796,226.42765789
156,156,2018-12-02T02:10:00,P1,AVG,228.21990927,229.16271756,229.98534304,229.05881397,228.38279530000003,226.4228614
157,157,2018-12-02T02:20:00,P1,AVG,228.21524931,229.17967445,230.01299246,229.06481426,228.38322090000003,226.41898324
158,158,2018-12-02T02:30:00,P1,AVG,228.20050311,229.17461914,230.00116596,229.03048771,228.34023854,226.37149772
159,159,2018-12-02T02:40:00,P1,AVG,228.2317295,229.22478767,230.0410735,229.11241519,228.41525756,226.46124587
160,160,2018-12-02T02:50:00,P1,AVG,228.14975177,229.11039873,229.96557254,229.0389031,228.36872795,226.3786064
161,161,2018-12-02T03:00:00,P1,AVG,228.21729342,229.17715076,229.97167228,229.05299371,228.42194266,226.44626963
162,162,2018-12-02T03:10:00,P1,AVG,228.22302102,229.23188552,230.0114055,229.02632562,228.46341174,226.51945737
163,163,2018-12-02T03:20:00,P1,AVG,228.19897311,229.23559362,230.02775503,229.02999508,228.48793421,226.5135462
164,164,2018-12-02T03:30:00,P1,AVG,228.14226939,229.18863017,229.98941346,229.03275567,228.50432344,226.52962822
165,165,2018-12-02T03:40:00,P1,AVG,228.07049291,229.16371301,230.05170672,228.98043831,228.46320208,226.52216412
166,166,2018-12-02T03:50:00,P1,AVG,228.12689232,229.14557114,230.02593233,229.01999527,228.43373342,226.48601501
167,167,2018-12-02T04:00:00,P1,AVG,227.99016866,229.13861871,229.99123061,228.98014319,228.41960025,226.48569255
168,168,2018-12-02T04:10:00,P1,AVG,228.02426264,229.08632242,229.99353963,229.01073339,228.39466583,226.50069536
169,169,2018-12-02T04:20:00,P1,AVG,227.98787630000004,229.06312112,230.01037559,228.98690015,228.45271182,226.51298217
170,170,2018-12-02T04:30:00,P1,AVG,227.99243972,229.11240148,230.01195776,228.99821494,228.43144302,226.53323508
171,171,2018-12-02T04:40:00,P1,AVG,228.01417152,229.14822373,230.01294035,229.01665216,228.46892919,226.55276402
172,172,2018-12-02T04:50:00,P1,AVG,228.03443547,229.1019405,230.0159014,229.04491264,228.50797566,226.58530001
173,173,2018-12-02T05:00:00,P1,AVG,228.00959652,229.22865474,229.93636134,229.05476597,228.51547444,226.66668578
174,174,2018-12-02T05:10:00,P1,AVG,227.72692703,229.1449815,230.06160283,228.93531982,228.55438151,226.57830827
175,175,2018-12-02T05:20:00,P1,AVG,227.88541545,229.0829257,229.95906095,228.99093235,228.52834464,226.64007827
176,176,2018-12-02T05:30:00,P1,AVG,227.86609338,229.09357963,229.98735633,228.95887912,228.49719788,226.52508649
177,177,2018-12-02T05:40:00,P1,AVG,228.04227574,229.11715946,230.12602704,229.10055149,228.61946138,226.65295485
178,178,2018-12-02T05:50:00,P1,AVG,229.06504541,230.10601388,230.98468039,229.92108029,229.31574386,227.2835614
179,179,2018-12-02T06:00:00,P1,AVG,229.02421447,230.07383846,231.00291516,229.93725632,229.36180342,227.34098015
180,180,2018-12-02T06:10:00,P1,AVG,229.02220782,230.08953605,231.01684354,229.93867311,229.29983418,227.35645079
181,181,2018-12-02T06:20:00,P1,AVG,229.08375033,230.08110751,230.96176496,229.93613611,229.28734631,227.3533519
