DATE,Target,Etching1,Etching2,Etching3,CVD1,CVD2,CVD3,Photo1,Photo2,D2TI13027 24,D2TI13029 18,D2TI13029 19,D2TI13029 20,D2TI13030 1,D2TI13031 21,D2TI13032 16,D2TI13047 20,D2TI13050 12,D2TI13078 8,D2TI13084 18,D2TI13102 24,D2TI13105 23,D2TI13107 8,D2TI13108 7,D2TI13108 8,D2TI13109 5,D2TI13109 7,D2TI13109 9,D2TI13109 17,D2TI13109 20,D2TI13110 13,D2TI13123 6,D2TI13132 1,D2TI13132 8,D2TI13132 23,D2TI13134 19,D2TI13135 3,D2TI13152 10,D2TI13152 23,D2TI13206 4,D2TI13206 16,D2TI13208 9,D2TI13208 24,D2TI13215 19,D2TI13415 21,D2TI14002 22,D2TI14009 2,D2TI14010 6,D2TI14010 23,D2TI14021 7,D2TI16002 2,D2TI17103 15,D2TI17103 22,D2TI17104 15,D2TI17105 4,D2TI17105 14,D2TI17106 5,D2TI17107 14,D2TI17109 6,D2TI17109 9,D2TI17109 14,D2TI17109 15,D2TI18038 13,D2TIC13007 7,D2TIC13007 8,D2TIC13111 11
2017-03-28,0.6,27.815209292,25.833072373,0.0068743055,0.0058022591,0.010480824,26.249998093,35,77.215925082,200.22959544,195.31068112,195.17703061,195.29291574,191.90892092,189.66360468,187.10438521,224.44809531,218.89812913,216.67653137,220.11373004,230.98927317,227.11535307,224.32358798,221.29710825,221.08475802,211.07381597,210.11124025,210.09738605,210.21924492,210.88403072,199.52716438,162.44504104,158.95665882,158.91922838,158.93443943,136.9420683,133.41284705,160.59128375,160.92434663,163.78123713,163.82179499,137.82186935,137.74957238,138.99023897,225.11802515,176.91288352,9.2319035565,9.0941556957,8.2968214321,9.1110604968,151.07036319,153.39773723,153.10474058,75.042256484,65.990173505,66.128358786,133.46577246,115.86820277,151.38622894,151.43610483,151.4519452,151.34314688,155.04510624,127.94731163,127.9551172,189.98713761
2017-03-28,0.5,31.624301443,27.891863059,0.0076098721,0.0076600102,0.0104987109,26.249998093,35,74.444411612,201.06303958,196.23205678,196.1429063,196.11164285,192.38259247,190.56673712,187.75344916,225.35676119,218.93807643,216.61550532,221.09439436,230.83370938,226.63163727,224.15113155,221.13894073,220.79196277,209.43401553,210.02541502,209.28652673,210.49671165,209.28610677,199.34725746,162.23355702,158.93773179,158.93232907,158.89263907,136.7496785,133.71827993,161.1167463,161.17515625,163.87451726,163.96867517,137.9029899,137.90782367,138.94899818,226.02787178,176.97513726,8.1232083397,7.9926417374,7.1172721722,8.2571485481,151.32660654,153.27163312,153.47379259,74.928263533,65.932350636,65.924671303,132.62799945,114.19851657,151.22363739,151.19387769,151.30176425,151.31409777,155.04502221,128.16076089,128.07314549,190.17343255
2017-03-28,0.6,31.230408123,26.12003362,0.0065808319,0.005988307,0.009972066,0.0157597415,31.448106398,74.869358719,200.74703608,195.72601798,195.65995353,195.79524388,193.17898404,190.14353533,187.81210101,225.41556982,219.77455554,217.67459801,221.04975915,231.35766467,227.319783,224.25883593,220.03834057,220.73356968,208.63797896,209.69394927,209.05515014,209.7460054,209.07499974,199.54657508,162.42454001,158.89563463,158.94070863,159.04454244,136.93764721,133.54807692,161.10347887,160.9526448,163.98922639,163.91633696,137.94135412,137.74121971,139.05587397,225.90882746,177.25708606,7.2091757416,6.7852855998,6.884263486,7.3521138737,151.36535579,153.17444062,153.14575584,74.454630978,65.762130843,65.782865112,132.23997106,113.76471375,151.26241549,151.20437008,151.2490615,151.2670413,155.05694435,128.0744444,128.02927035,189.91387336
2017-03-28,0.1,32.390123668,25.105050905,0.0073691102,0.0084871714,0.0097016807,0.0169998067,0.0044916427,74.681971526,202.08521523,196.93889785,196.98934488,196.94548275,192.82123699,191.37809328,188.82497088,226.58274902,220.08927848,218.2725649,221.90313503,231.55501006,227.22935102,221.47551182,219.16107754,218.9086094,208.95340999,208.04372499,209.81143374,209.10468485,209.9472406,199.94663092,162.37421081,159.08261578,159.05778663,159.19916263,136.88158722,133.57967336,160.80740361,160.62374368,163.93119692,163.98918934,137.96919266,137.91228351,138.80969743,227.07393173,177.56409214,7.9969912515,7.4468865662,9.3423623327,7.9821722248,151.77184893,153.7939924,153.75877163,75.06074754,65.889884024,66.018723292,132.41133017,115.64961917,151.27324684,151.30174262,151.17672745,151.21513773,155.07264803,128.02196494,127.89288658,189.7560948
2017-03-28,0.1,32.28812417,25.32820999,0.0074305835,0.0068030928,0.011338998,0.0167894002,0.0047537905,74.910572832,202.31347093,197.17377832,197.21272354,197.15731961,193.92769093,191.68653513,188.91608513,226.5956053,221.05511175,219.40191814,221.96030107,232.15319316,228.81219038,224.48450746,221.31081573,221.00624452,210.6662337,209.8703892,210.59361756,210.23692104,210.95386353,199.75559804,162.42229232,159.17868075,159.21210795,159.3380145,136.86184678,133.55890942,160.47510426,160.35734651,164.06920798,164.04296363,137.96829713,137.76156224,138.73039584,227.05657231,177.38586103,10.77514931,9.8252576025,9.9327892436,9.8542158249,151.56679034,153.29809082,153.44984855,75.002348249,66.013446819,65.970326217,134.37049144,117.29135485,151.33707047,151.45142669,151.69261718,151.70561862,155.07502999,128.02274392,128.0186085,189.8726714
2017-03-28,0.2,34.654077802,26.912741366,0.0077199903,0.0078495377,0.0106134478,0.0152345943,0.0046084685,74.618794668,202.1323146,196.98241543,196.99611146,196.88694813,194.21249182,191.35783192,188.88799495,226.53555402,221.14972184,219.20140664,221.85026608,232.75527051,229.23003864,225.17248277,222.22748663,221.97749416,210.90168941,210.81426797,210.16410727,210.97117278,210.85252853,199.69246468,162.52391308,159.34131902,159.35522769,159.29789422,136.88094611,133.46529279,160.26147353,160.15365065,164.04175295,164.01756294,137.84709335,137.76933057,138.89339194,227.00157911,177.15673909,10.548945775,9.7968270652,9.4827004981,9.8687415129,151.52120164,153.51663857,153.44556228,75.039053378,66.168472661,66.300958077,134.69474108,117.27806049,151.67615673,151.70205129,151.681514,151.61414414,155.09075941,128.02864904,128.00717215,190.33466832
2017-03-29,0.5,31.859859902,25.962908603,0.0088062212,0.0089673853,0.0105266344,26.249998093,35,75.231398224,202.40357062,197.28744269,197.24176902,197.21966905,193.95149386,191.60067468,189.04836204,226.35547902,220.9738971,219.57862495,221.81273614,232.96666276,230.02407253,225.79858211,222.8035222,222.40407233,210.44694794,211.70269212,210.87313284,211.86426984,210.61412707,200.40785434,162.56555515,159.32131212,159.3088285,159.34397516,136.762504,133.66682152,160.14198683,160.26310062,164.02542216,163.97518963,137.89339933,137.67678444,139.18315476,226.88320264,177.17770835,10.060170931,9.4410700875,8.8536384132,9.5596142109,151.53891546,153.97353541,154.14461302,74.869094245,66.076987555,66.194438178,134.80264286,117.13749873,151.20246514,151.16217809,151.50253462,151.50195991,155.03926921,127.97842966,128.04803095,190.20340799
2017-03-29,0.4,33.621570211,30.459449929,0.007322066,0.0064420701,0.0102337149,0.0161899171,32.007995036,75.475927364,201.61766817,196.87577447,196.67279941,196.70733872,194.38922829,191.42542649,188.68535197,225.59690365,220.12475186,218.35633623,221.89210155,232.72954557,228.46756274,225.53076127,221.58308935,222.99589741,210.98903233,210.93665582,211.44903394,211.28246012,210.82316652,201.09237533,162.27299757,159.32105757,159.30397288,159.25083655,136.46564429,133.83644749,160.35880123,160.42008608,163.91588246,163.95204411,137.64406638,137.29517219,138.98263588,227.109115,177.26241574,8.9773465983,8.6884687162,8.1778228928,8.8479742587,151.48815212,154.52638604,154.39273612,75.114085195,66.36044846,66.363049421,133.6153975,115.06746892,151.2915991,151.29494942,151.14509956,151.11116574,155.07097259,128.0382916,127.85541442,189.95459391
2017-03-29,0.2,31.178079919,34.887331593,0.0066191672,0.0071611523,0.0097755169,24.098973144,35,76.403910998,201.44575581,196.42699138,196.39628475,196.64612691,193.84876346,191.02778112,188.42977162,225.64759577,220.33823373,218.70403398,222.92942501,232.72156716,230.09894227,225.37675097,222.74618235,222.11511707,211.92480549,211.24629152,212.36616682,211.89568967,212.95217689,201.0154464,162.43949722,159.24938675,159.27363938,159.19604413,136.30829466,133.78514779,160.42632101,160.452927,163.96532268,163.9649659,137.45396568,137.3349359,138.90732913,228.08214675,177.32589447,7.6900703381,8.0013558769,8.8538636081,8.3230517094,151.5650707,153.84370287,153.77002399,74.996072073,66.211769257,66.212234016,131.79662161,112.12782078,150.59854347,150.58347886,150.56231002,150.49364091,155.06806362,128.08605933,128.02351293,189.56200317
2017-03-29,0.3,30.40929591,31.755872735,0.0065685793,0.0080972751,0.0094716065,26.249998093,35,75.831824821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
