,날짜,SKU ID,SKU 명,바코드,발주가능상태,입고수량,쿠팡출고수량,쿠팡현재재고수량,자재번호,자재명,카테고리,입수,출고수량,재고수량
7731,2019-06-01,3455101,[애경] 휘슬 애견 미스트 - 샤이닝 실키,8801046277898,발주가능,0,16,100,6066116,17휘슬Whistle미스트 250ml샤이닝실키,기타,6,2.6666666666666665,37.5
7732,2019-06-01,3459952,Pack_2080 키즈오 그린애플 100g*5,8801046298473,발주가능,0,120,2165,6067890,18전2080키즈오그린애플 100g*5입,덴탈케어,9,13.333333333333334,162.375
7733,2019-06-01,3459953,Pack_2080 키즈오 라스베리 100g*5,8801046298480,발주가능,0,91,2633,6067892,18전2080키즈오 라스베리100g*5입,덴탈케어,9,10.11111111111111,260.4065934065934
7734,2019-06-01,4086908,투명한 생각 베이킹소다 3kg(지퍼백),8801046299364,발주가능,0,4,26,6065988,17투명한생각 베이킹소다3kg(지퍼백,세탁세제,4,1.0,26.0
7735,2019-06-01,4086909,투명한 생각 주방세제 500g,8801046295649,발주가능,0,398,4044,6065721,17투명한 생각 주방 500g,주방세제,20,19.9,203.21608040201008
7736,2019-06-01,4099350,2080치석 집중케어 미세모 5+5,8801046290194,발주가능,0,62,120,5008395,162080치석 집중케어 미세모 5+5,덴탈케어,8,7.75,15.483870967741936
7737,2019-06-01,4099351,Pack_2080 진지발리스 골드진생 140g * 6개,8801046299319,발주가능,0,175,1241,6067848,18전2080진지발리스K 골드진생140gx6입(인),덴탈케어,8,21.875,56.73142857142857
7738,2019-06-01,4109110,투명한 생각 분말세제 4kg,8801046295656,발주가능,0,1,17,6067663,18 투명한생각 분말4kg,세탁세제,3,0.3333333333333333,51.0
7739,2019-06-01,4109112,투명한 생각 구연산 2kg(지퍼백),8801046299357,발주가능,0,2,2,6066968,17투명한생각 구연산 2kg 지퍼백(화,세탁세제,4,0.5,4.0
7740,2019-06-01,4157113,Pack_2080 덴탈크리닉 뉴샤이닝 화이트 치약 140g * 5개,8801046300541,발주가능,0,571,12113,6067874,18전2080뉴샤이닝 140gx5입(인터:측벤),덴탈케어,8,71.375,169.7092819614711
7741,2019-06-01,4231313,뷰코셋 바이오 노말 윙 12P,6414100895802,발주가능,0,35,609,5009321,18뷰코셋 노말윙 생리대(H),매입브랜드,12,2.9166666666666665,208.8
7742,2019-06-01,4300574,뷰코셋 바이오 롱 윙 10P,6414100895857,발주가능,0,63,818,5009050,18공통 뷰코셋 롱윙생리대,매입브랜드,12,5.25,155.8095238095238
7743,2019-06-01,4655892,순샘구연산 자몽 500ml 용기,8801046303221,발주가능,0,252,1418,6066612,17순샘구연산 자몽 500mL 용기 (친),주방세제,20,12.6,112.53968253968254
7744,2019-06-01,4655893,순샘구연산 자몽 1.2L 리필,8801046303207,발주가능,0,784,7735,6066613,17순샘구연산 자몽 1.2L 리필 (친),주방세제,10,78.4,98.66071428571428
7745,2019-06-01,4655894,순샘구연산 자몽 1.4L 리필,8801046979143,발주가능,0,280,5993,6066614,17순샘구연산 자몽 1.4L 리필 (친),주방세제,9,31.11111111111111,192.63214285714287
7746,2019-06-01,4655896,순샘베이킹 피톤치드 500ml 용기,8801046303214,발주가능,0,1,0,6066606,17순샘베이킹피톤치드 500mL 용기 (친),주방세제,20,0.05,0.0
