,카테고리명,자재그룹명,제품명,안전재고,분류,variable,value
162,CHB,E1,C,0.0,A,2019-12-05 00:00:00,9480.7
163,CHB,E1,D,0.0,A,2019-12-05 00:00:00,7710.3
164,CHB,E1,E,39593.3,A,2019-12-05 00:00:00,56602.6
165,CHB,E1,F,0.0,A,2019-12-05 00:00:00,3181.8
166,CHB,E1,G,0.0,M,2019-12-05 00:00:00,24351.4
167,CHB,E1,H,46893.9,A,2019-12-05 00:00:00,26241.8
168,CHB,E1,I,0.0,K,2019-12-05 00:00:00,26586.7
169,CHB,E1,J,0.0,A,2019-12-05 00:00:00,17632.2
170,CHB,E1,K,0.0,A,2019-12-05 00:00:00,32833.6
171,CHB,E1,L,0.0,A,2019-12-05 00:00:00,5961.5
172,CHB,E1,M,0.0,A,2019-12-05 00:00:00,14.0
173,CHB,E1,N,0.0,E,2019-12-05 00:00:00,46.9
174,CHB,E1,O,0.0,E,2019-12-05 00:00:00,1694.1
175,CHB,E1,P,0.0,E,2019-12-05 00:00:00,38.3
176,CHB,E1,Q,0.0,E,2019-12-05 00:00:00,222.7
177,CHB,E1,R,0.0,A,2019-12-05 00:00:00,258.2
178,CHB,E1,S,0.0,E,2019-12-05 00:00:00,172.7
179,CHB,E1,T,0.0,E,2019-12-05 00:00:00,31.8
180,CHB,E2,U,0.0,E,2019-12-05 00:00:00,19.0
181,CHB,E2,V,0.0,E,2019-12-05 00:00:00,743.9
182,CHB,E2,W,0.0,E,2019-12-05 00:00:00,398.3
183,CHB,E2,X,0.0,E,2019-12-05 00:00:00,99.9
184,CHB,E2,Y,0.0,E,2019-12-05 00:00:00,554.1
185,CHB,E2,Z,0.0,E,2019-12-05 00:00:00,82.7
186,CHB,E2,A1,0.0,E,2019-12-05 00:00:00,4.4
187,CHB,E2,A2,0.0,A,2019-12-05 00:00:00,18273.0
188,CHB,E2,A3,0.0,B,2019-12-05 00:00:00,10282.0
189,CHB,E2,B2,0.0,G,2019-12-05 00:00:00,519.5
190,CHB,E2,B3,0.0,F,2019-12-05 00:00:00,9749.3
191,CHB,E2,FF1,0.0,E,2019-12-05 00:00:00,9198.8
192,CHB,E2,FF2,0.0,F,2019-12-05 00:00:00,0.0
193,CHB,E2,FF3,0.0,M,2019-12-05 00:00:00,47180.5
194,CHB,E2,Z1,0.0,H,2019-12-05 00:00:00,0.0
